Date,Utilisation
"Apr 28, 1995",92.8
"May 05, 1995",91.3
"May 12, 1995",91.8
"May 19, 1995",93.9
"May 26, 1995",95.8
"Jun 02, 1995",95.9
"Jun 09, 1995",96
"Jun 16, 1995",95.9
"Jun 23, 1995",96.5
"Jun 30, 1995",94.8
"Jul 07, 1995",93.9
"Jul 14, 1995",94.7
"Jul 21, 1995",93.5
"Jul 28, 1995",94.1
"Aug 04, 1995",94
"Aug 11, 1995",93.5
"Aug 18, 1995",93.4
"Aug 25, 1995",93.3
"Sep 01, 1995",95.1
"Sep 08, 1995",95.9
"Sep 15, 1995",96
"Sep 22, 1995",94.2
"Sep 29, 1995",94.7
"Oct 06, 1995",92.4
"Oct 13, 1995",88.5
"Oct 20, 1995",90
"Oct 27, 1995",89.7
"Nov 03, 1995",89.3
"Nov 10, 1995",88.2
"Nov 17, 1995",90.5
"Nov 24, 1995",91.5
"Dec 01, 1995",94.1
"Dec 08, 1995",94.6
"Dec 15, 1995",92.7
"Dec 22, 1995",92
"Dec 29, 1995",93.2
"Jan 05, 1996",93.2
"Jan 12, 1996",91.3
"Jan 19, 1996",91.6
"Jan 26, 1996",90.6
"Feb 02, 1996",90.5
"Feb 09, 1996",90.7
"Feb 16, 1996",90.4
"Feb 23, 1996",89.5
"Mar 01, 1996",90.8
"Mar 08, 1996",90.5
"Mar 15, 1996",90.5
"Mar 22, 1996",90.9
"Mar 29, 1996",93.1
"Apr 05, 1996",92.5
"Apr 12, 1996",93.8
"Apr 19, 1996",93.3
"Apr 26, 1996",93.8
"May 03, 1996",94.3
"May 10, 1996",92.9
"May 17, 1996",92.9
"May 24, 1996",95.2
"May 31, 1996",95.6
"Jun 07, 1996",95.7
"Jun 14, 1996",95.1
"Jun 21, 1996",95.7
"Jun 28, 1996",95.3
"Jul 05, 1996",93.8
"Jul 12, 1996",94.7
"Jul 19, 1996",94.4
"Jul 26, 1996",93.6
"Aug 02, 1996",94.3
"Aug 09, 1996",95.2
"Aug 16, 1996",94
"Aug 23, 1996",94.6
"Aug 30, 1996",94.2
"Sep 06, 1996",95
"Sep 13, 1996",94.9
"Sep 20, 1996",95.6
"Sep 27, 1996",95.6
"Oct 04, 1996",95.7
"Oct 11, 1996",92.7
"Oct 18, 1996",93
"Oct 25, 1996",93.8
"Nov 01, 1996",94.9
"Nov 08, 1996",91.2
"Nov 15, 1996",93.1
"Nov 22, 1996",94.6
"Nov 29, 1996",94.5
"Dec 06, 1996",94.9
"Dec 13, 1996",94
"Dec 20, 1996",94
"Dec 27, 1996",93.8
"Jan 03, 1997",93.2
"Jan 10, 1997",91.6
"Jan 17, 1997",90.6
"Jan 24, 1997",89.7
"Jan 31, 1997",91.3
"Feb 07, 1997",88.2
"Feb 14, 1997",87.5
"Feb 21, 1997",88.8
"Feb 28, 1997",89.4
"Mar 07, 1997",90.5
"Mar 14, 1997",91.1
"Mar 21, 1997",93.5
"Mar 28, 1997",92.8
"Apr 04, 1997",93.3
"Apr 11, 1997",93
"Apr 18, 1997",93.2
"Apr 25, 1997",92
"May 02, 1997",94.1
"May 09, 1997",96.9
"May 16, 1997",97.4
"May 23, 1997",98.4
"May 30, 1997",99
"Jun 06, 1997",98.6
"Jun 13, 1997",97.6
"Jun 20, 1997",97.7
"Jun 27, 1997",97.3
"Jul 04, 1997",96.1
"Jul 11, 1997",97.9
"Jul 18, 1997",96.9
"Jul 25, 1997",96
"Aug 01, 1997",97.3
"Aug 08, 1997",96.1
"Aug 15, 1997",97.7
"Aug 22, 1997",99.3
"Aug 29, 1997",99.8
"Sep 05, 1997",99.4
"Sep 12, 1997",99
"Sep 19, 1997",98.5
"Sep 26, 1997",98.1
"Oct 03, 1997",97.6
"Oct 10, 1997",98.4
"Oct 17, 1997",95.9
"Oct 24, 1997",94.4
"Oct 31, 1997",94.8
"Nov 07, 1997",93.2
"Nov 14, 1997",92.2
"Nov 21, 1997",95.5
